generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
134,0.034601520746946335,0.03908141702413559,2,1,3,0.5,-0.0034601520746946335,-0.003908141981810331,21,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
135,0.034601520746946335,0.03859779238700867,2,1,3,0.5,-0.0034601520746946335,-0.0038828537799417973,22,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
136,0.034601520746946335,0.03852623701095581,2,1,3,0.5,-0.0034601520746946335,-0.0038526239804923534,20,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
137,0.034601520746946335,0.03847485035657883,2,1,3,0.5,-0.0034601520746946335,-0.0038474849425256252,21,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
138,0.034601520746946335,0.03858151659369469,2,1,3,0.5,-0.0034601520746946335,-0.00385815161280334,22,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
139,0.034601520746946335,0.03842878341674805,2,1,3,0.5,-0.0034601520746946335,-0.0038428783882409334,23,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
140,0.034601520746946335,0.03810811787843704,2,1,3,0.5,-0.0034601520746946335,-0.003810812020674348,24,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
141,0.034601520746946335,0.037887655198574066,2,1,3,0.5,-0.0034601520746946335,-0.0038019500207155943,25,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
142,0.034601520746946335,0.03770610690116882,2,1,3,0.5,-0.0034601520746946335,-0.00377651141025126,20,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
143,0.033843059092760086,0.03754137456417084,4,1,5,1.0,-0.00338430586270988,-0.0037654396146535873,21,0.95,0.5099999904632568,0.699999988079071,0.7299999594688416,0.5899999737739563
144,0.033843059092760086,0.03754137456417084,4,1,5,1.0,-0.00338430586270988,-0.003754137549549341,17,0.95,0.5099999904632568,0.699999988079071,0.7299999594688416,0.5899999737739563
145,0.033843059092760086,0.03716646879911423,4,1,5,1.0,-0.00338430586270988,-0.003726345021277666,18,0.95,0.5099999904632568,0.699999988079071,0.7299999594688416,0.5899999737739563
146,0.03347577899694443,0.03716646879911423,4,1,5,1.0,-0.0033475779928267,-0.003716647159308195,18,0.95,0.5999999642372131,0.6899999976158142,0.7400000095367432,0.6299999952316284
147,0.03347577899694443,0.03673606365919113,4,1,5,1.0,-0.0033475779928267,-0.0036736060865223408,19,0.95,0.5999999642372131,0.6899999976158142,0.7400000095367432,0.6299999952316284
148,0.028119001537561417,0.03618163615465164,4,1,5,1.0,-0.002811900107190013,-0.003618163987994194,20,0.95,0.550000011920929,0.6899999976158142,0.7099999785423279,0.6100000143051147
149,0.028119001537561417,0.035852253437042236,4,1,5,1.0,-0.002811900107190013,-0.003597039496526122,21,0.95,0.550000011920929,0.6899999976158142,0.7099999785423279,0.6100000143051147
150,0.02752981334924698,0.03496966511011124,4,1,5,1.0,-0.0027529813814908266,-0.0035064578987658024,22,0.95,0.5600000023841858,0.6800000071525574,0.699999988079071,0.5600000023841858
151,0.02752981334924698,0.03462943807244301,4,1,5,1.0,-0.0027529813814908266,-0.0034801126457750797,23,0.95,0.5600000023841858,0.6800000071525574,0.699999988079071,0.5600000023841858
152,0.027004456147551537,0.03460124135017395,4,1,5,1.0,-0.002700445707887411,-0.0034601239021867514,24,0.95,0.6100000143051147,0.7199999690055847,0.7899999618530273,0.6399999856948853
153,0.024678198620676994,0.033632151782512665,4,0,4,1.0,-0.002467819955199957,-0.0033815791830420494,10,0.95,0.5299999713897705,0.7199999690055847,0.7400000095367432,0.5999999642372131
154,0.024678198620676994,0.032180897891521454,4,0,4,1.0,-0.002467819955199957,-0.003218089696019888,8,0.95,0.5299999713897705,0.7199999690055847,0.7400000095367432,0.5999999642372131
155,0.024678198620676994,0.031870998442173004,4,0,4,1.0,-0.002467819955199957,-0.0031870994716882706,7,0.95,0.5299999713897705,0.7199999690055847,0.7400000095367432,0.5999999642372131
156,0.024678198620676994,0.03126237541437149,4,0,4,1.0,-0.002467819955199957,-0.003138746600598097,8,0.95,0.5299999713897705,0.7199999690055847,0.7400000095367432,0.5999999642372131
157,0.02417079359292984,0.030720215290784836,4,1,5,1.0,-0.0024170794058591127,-0.0030720215290784836,9,0.95,0.550000011920929,0.699999988079071,0.7999999523162842,0.6499999761581421
158,0.022195812314748764,0.030464693903923035,4,0,4,1.0,-0.002219581278041005,-0.003046469297260046,10,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
159,0.022195812314748764,0.03040418028831482,4,0,4,1.0,-0.002219581278041005,-0.003040418028831482,11,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
160,0.022195812314748764,0.02963710017502308,4,0,4,1.0,-0.002219581278041005,-0.0029844865202903748,12,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
161,0.022195812314748764,0.02947480045258999,4,0,4,1.0,-0.002219581278041005,-0.0029637101106345654,13,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
162,0.022195812314748764,0.028810761868953705,4,0,4,1.0,-0.002219581278041005,-0.0029050949960947037,14,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
163,0.022195812314748764,0.028187192976474762,4,0,4,1.0,-0.002219581278041005,-0.0028384458273649216,15,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
164,0.022195812314748764,0.027575630694627762,4,0,4,1.0,-0.002219581278041005,-0.002757563255727291,16,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
165,0.022195812314748764,0.02708476036787033,4,0,4,1.0,-0.002219581278041005,-0.0027179366443306208,15,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
166,0.022195812314748764,0.02708476036787033,4,0,4,1.0,-0.002219581278041005,-0.002708476036787033,14,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
167,0.022195812314748764,0.026942789554595947,4,0,4,1.0,-0.002219581278041005,-0.0027020140551030636,15,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
168,0.022195812314748764,0.026790061965584755,4,0,4,1.0,-0.002219581278041005,-0.002691324334591627,16,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
